experiment_name,fn,fnr,fp,fpr,has_ocr,image_label,input_mode,mm_label,model,negative_support,positive_support,seed,source,split,support,text_label
ocr/dt4mid-caption-ocr,5,0.45454545454545453,0,,True,1,caption_ocr,1,dt4mid-phobert,0,11,123,threads,test,11,0
ocr/dt4mid-caption-ocr,5,0.2777777777777778,0,,True,0,caption_ocr,1,dt4mid-phobert,0,18,123,facebook,test,18,1
ocr/dt4mid-caption-ocr,0,,8,0.5333333333333333,True,0,caption_ocr,0,dt4mid-phobert,15,0,123,threads,test,15,1
ocr/dt4mid-caption-ocr,0,,3,0.42857142857142855,True,1,caption_ocr,0,dt4mid-phobert,7,0,123,facebook,test,7,0
ocr/dt4mid-caption-ocr,4,0.5714285714285714,0,,True,1,caption_ocr,1,dt4mid-phobert,0,7,123,threads,test,7,1
ocr/dt4mid-caption-ocr,0,,2,0.3333333333333333,True,0,caption_ocr,0,dt4mid-phobert,6,0,123,facebook,test,6,1
ocr/dt4mid-caption-ocr,0,0.0,0,,False,1,caption_ocr,1,dt4mid-phobert,0,3,123,facebook,test,3,1
ocr/dt4mid-caption-ocr,0,,2,0.5,False,0,caption_ocr,0,dt4mid-phobert,4,0,123,threads,test,4,1
ocr/dt4mid-caption-ocr,0,,1,1.0,False,0,caption_ocr,0,dt4mid-phobert,1,0,123,facebook,test,1,1
ocr/dt4mid-caption-ocr,0,,47,0.6911764705882353,True,0,caption_ocr,0,dt4mid-phobert,68,0,2026,facebook,test,68,0
ocr/dt4mid-caption-ocr,14,0.7777777777777778,0,,False,0,caption_ocr,1,dt4mid-phobert,0,18,2026,threads,test,18,1
ocr/dt4mid-caption-ocr,4,0.07692307692307693,0,,True,1,caption_ocr,1,dt4mid-phobert,0,52,2026,facebook,test,52,0
ocr/dt4mid-caption-ocr,0,,52,0.3023255813953488,True,0,caption_ocr,0,dt4mid-phobert,172,0,2026,threads,test,172,0
ocr/dt4mid-caption-ocr,0,,8,0.06557377049180328,False,0,caption_ocr,0,dt4mid-phobert,122,0,2026,threads,test,122,0
ocr/dt4mid-caption-ocr,0,,14,0.875,False,0,caption_ocr,0,dt4mid-phobert,16,0,2026,facebook,test,16,0
ocr/dt4mid-caption-ocr,3,1.0,0,,True,1,caption_ocr,1,dt4mid-phobert,0,3,2026,facebook,test,3,1
ocr/dt4mid-caption-ocr,13,0.2549019607843137,0,,True,0,caption_ocr,1,dt4mid-phobert,0,51,2026,facebook,test,51,0
ocr/dt4mid-caption-ocr,3,0.061224489795918366,0,,False,0,caption_ocr,1,dt4mid-phobert,0,49,2026,facebook,test,49,0
ocr/dt4mid-caption-ocr,20,0.5,0,,True,0,caption_ocr,1,dt4mid-phobert,0,40,2026,threads,test,40,0
ocr/dt4mid-caption-ocr,13,0.3939393939393939,0,,True,0,caption_ocr,1,dt4mid-phobert,0,33,2026,threads,test,33,1
ocr/dt4mid-caption-ocr,0,,2,0.6666666666666666,True,1,caption_ocr,0,dt4mid-phobert,3,0,2026,threads,test,3,0
ocr/dt4mid-caption-ocr,18,0.9,0,,False,0,caption_ocr,1,dt4mid-phobert,0,20,2026,threads,test,20,0
ocr/dt4mid-caption-ocr,4,0.23529411764705882,0,,False,0,caption_ocr,1,dt4mid-phobert,0,17,2026,facebook,test,17,1
ocr/dt4mid-caption-ocr,4,0.36363636363636365,0,,True,1,caption_ocr,1,dt4mid-phobert,0,11,2026,threads,test,11,0
ocr/dt4mid-caption-ocr,4,0.2222222222222222,0,,True,0,caption_ocr,1,dt4mid-phobert,0,18,2026,facebook,test,18,1
ocr/dt4mid-caption-ocr,0,,7,0.4666666666666667,True,0,caption_ocr,0,dt4mid-phobert,15,0,2026,threads,test,15,1
ocr/dt4mid-caption-ocr,0,,7,1.0,True,1,caption_ocr,0,dt4mid-phobert,7,0,2026,facebook,test,7,0
ocr/dt4mid-caption-ocr,2,0.2857142857142857,0,,True,1,caption_ocr,1,dt4mid-phobert,0,7,2026,threads,test,7,1
